순번	영화이름	개요	감독	출연	등급	줄거리요약	줄거리	이미지
1	신비한 동물들과 그린델왈드의 범죄	모험, 가족, 판타지 | 미국 , 영국 | 134분 | 2018 .11.14 개봉	데이빗 예이츠	에디 레드메인(뉴트 스캐맨더), 조니 뎁(겔러트 그린델왈드), 캐서린 워터스턴(티나 골드스틴), 주드 로(알버스 덤블도어), 에즈라 밀러(크레덴스 베어본), 앨리슨 수돌(퀴니 골드스틴)	[국내] 12세관람가	마법 세계의 운명을 건 대결이 시작된다!	‘뉴트 스캐맨더’(에디 레드메인)의 활약으로 <br>&nbsp;강력한 어둠의 마법사 ‘겔러트 그린델왈드’(조니 뎁)가 미합중국 마법부 MACUSA에 붙잡히지만, <br>&nbsp;이내 장담했던 대로 탈출해 추종자를 모으기 시작한다. <br>&nbsp;순혈 마법사의 세력을 모아 마법을 사용하지 않는 사람들을 지배하려는 <br>&nbsp;그린델왈드의 야욕을 막기 위해 ‘알버스 덤블도어’(주드 로)는 제자였던 뉴트에게 도움을 요청한다. <br>&nbsp;마법사 사회는 점점 더 분열되어 가는 가운데, <br>&nbsp;앞날의 위험을 알지 못한 채 뉴트는 이를 승낙하는데...	https://movie-phinf.pstatic.net/20181029_21/1540774701820gU85o_JPEG/movie_image.jpg?type=m203_290_2
2	보헤미안 랩소디	드라마 | 미국 , 영국 | 134분 | 2018 .10.31 개봉	브라이언 싱어	라미 말렉(프레디 머큐리), 루시 보인턴(메리 오스틴), 귈림 리(브라이언 메이), 벤 하디(로저 테일러), 조셉 마젤로(존 디콘), 에이단 길렌(존 리드), 엘린 리치(폴 프렌터), 톰 홀랜더(짐 비치)	[국내] 12세 관람가	“나는 스타가 되지 않을 것이다, 전설이 될 것이다”	공항에서 수하물 노동자로 일하며 음악의 꿈을 키우던 이민자 출신의 아웃사이더 ‘파록버사라’<br>&nbsp;보컬을 구하던 로컬 밴드에 들어가게 되면서 ‘프레디 머큐리’라는 이름으로 밴드 ‘퀸’을 이끌게 된다. <br>&nbsp; <br>&nbsp;시대를 앞서가는 독창적인 음악과 화려한 퍼포먼스로 관중들을 사로잡으며 성장하던 ‘퀸’은 <br>&nbsp;라디오와 방송에서 외면을 받을 것이라는 음반사의 반대에도 불구하고 <br>&nbsp;무려 6분 동안 이어지는 실험적인 곡 ‘보헤미안 랩소디’로 대성공을 거두며 월드스타 반열에 오른다. <br>&nbsp; <br>&nbsp;그러나 독보적인 존재감을 뿜어내던 ‘프레디 머큐리’는 솔로 데뷔라는 유혹에 흔들리게 되고 <br>&nbsp;결국 오랜 시간 함께 해왔던 멤버들과 결별을 선언하게 되는데… <br>&nbsp; <br>&nbsp;세상에서 소외된 아웃사이더에서 전설의 록밴드 ‘퀸’이 되기까지, <br>&nbsp;우리가 몰랐던 그들의 진짜 이야기가 시작된다!	https://movie-phinf.pstatic.net/20181031_68/1540952503496fNRsF_JPEG/movie_image.jpg?type=m203_290_2
3	완벽한 타인	드라마, 코미디 | 한국 | 115분 | 2018 .10.31 개봉	이재규	유해진(태수), 조진웅(석호), 이서진(준모), 염정아(수현), 김지수(예진),  송하윤(세경), 윤경호(영배) 지우(소영)	[국내] 15세 관람가		우리 게임 한 번 해볼까? 다들 핸드폰 올려봐<br>&nbsp;저녁 먹는 동안 오는 모든 걸 공유하는 거야<br>&nbsp;전화, 문자, 카톡, 이메일 할 것 없이 싹!<br>&nbsp;<br>&nbsp;오랜만의 커플 모임에서 한 명이 게임을 제안한다.<br>&nbsp;바로 각자의 핸드폰을 테이블 위에 올려두고<br>&nbsp;통화 내용부터 문자와 이메일까지 모두 공유하자고 한 것.<br>&nbsp;흔쾌히 게임을 시작하게 된 이들의 비밀이 핸드폰을 통해 들통나면서<br>&nbsp;처음 게임을 제안했던 것과는 전혀 다른 상상치 못한 결말로 흘러가는데….<br>&nbsp;상상한 모든 예측이 빗나간다!	https://movie-phinf.pstatic.net/20181106_289/1541478936071tmadh_JPEG/movie_image.jpg?type=m203_290_2
4	번 더 스테이지: 더 무비	한국 | 83분 | 2018 .11.15 개봉	박준수	RM(본인), 진(본인), 슈가(본인), 제이홉(본인), 지민(본인), 뷔(본인), 정국(본인)	[국내] 전체 관람가		19개 도시, 40회의 공연, 55만석 날개를 펼친 소년들의 역사. <br>&nbsp;성공적인 월드 투어로 마무리된 ‘2017 방탄소년단 라이브 트릴로지 에피소드3 윙스 투어(2017 BTS LIVE TRILOGY EPISODE III THE WINGS TOUR)’를 가장 가까이에서 담아낸 방탄소년단의 첫 번째 영화. <br>&nbsp; <br>&nbsp;지금, 우리 <br>&nbsp;함께 빛나는 청춘의 순간이 스크린에 펼쳐진다.	https://movie-phinf.pstatic.net/20181109_286/1541743345207CtoXg_JPEG/movie_image.jpg?type=m203_290_2
5	출국	드라마 | 한국 | 105분 | 2018 .11.14 개봉	노규엽	이범수(오영민), 연우진(최무혁), 박혁권(김참사(김길중)), 박주미(신은숙), 이현정(혜원), 김보민(규원)	[국내] 15세 관람가	서로가 서로를 감시하는 곳, 1986년 베를린<br>한순간의 실수로 모두의 타겟이 된 남자	베를린에 유학 중이던 평범한 경제학자 ‘영민’은<br>&nbsp;자신과 가족을 위한다는 명분으로 북으로 가는 선택을 한다.<br>&nbsp;<br>&nbsp;이내 실수임을 깨닫고 코펜하겐 공항에서 위험천만한 탈출을 시도하던 그는<br>&nbsp;가족과 헤어지게 되고, 각국 정보국에 도움을 요청한다.<br>&nbsp;그러나 그들 역시, 그의 가족의 생사에는 관심을 두지 않은 채<br>&nbsp;서로 다른 목적으로 그를 이용하려고 감시하는데...<br>&nbsp;<br>&nbsp;누구도 믿을 수 없다!<br>&nbsp;잃어버린 가족을 되찾기 위한 한 남자의 사투가 시작된다!	https://movie-phinf.pstatic.net/20181022_106/1540170285123a57tG_JPEG/movie_image.jpg?type=m203_290_2
6	바울	드라마 | 미국 | 107분 | 2018 .10.31 개봉	앤드류 하얏트	제임스 폴크너(바울), 제임스 카비젤(누가), 올리비에 마르티네즈(모리셔스 갈라스), 존 린치(아퀼라), 조앤 웨일리(프리실라), 안토니아 켐벨-휴즈(아이레니카), 요르고스 카라미호스(사울), 마누엘 코우치(아나니아)	[국내] 15세 관람가 [해외] PG-13	성경 역사상 가장 뜨거운 마지막 여정이 시작된다!	그리스도가 부활한 지 약 30년 후인 AD 67년, <br>&nbsp;로마제국의 황제 ‘네로’는 자신의 광기로 일어난 대화재의 원인으로 <br>&nbsp;신흥종교인 기독교에 책임을 돌린다. <br>&nbsp; <br>&nbsp;짐승들의 먹이가 되거나 불태워지며 극심한 박해를 받는 크리스천들. <br>&nbsp;그리고 그들의 리더인 ‘바울’은 ‘네로’의 명령에 의해 <br>&nbsp;감옥에 갇혀 사형될 날만을 기다리고 있다. <br>&nbsp; <br>&nbsp;이러한 상황 속에서 바울의 동역자인 ‘누가’는 <br>&nbsp;죽음의 문턱, 두려움 속에 점점 희망을 잃어가는 크리스천들에게 <br>&nbsp;‘바울’의 일생과 그가 얻은 지혜를 사도행전으로 기록하여 전하고자 <br>&nbsp;깊은 감옥 속으로 숨어드는데….	https://movie-phinf.pstatic.net/20181019_147/1539926010524SSrS7_JPEG/movie_image.jpg?type=m203_290_2
7	너의 췌장을 먹고 싶어	애니메이션, 드라마 | 일본 | 109분 | 2018 .11.15 개봉	우시지마 신이치로	타카스기 마히로(나 목소리), 린(사쿠라 목소리), 후지이 유키요(쿄코 목소리), 후쿠시마 준(껌 소년), 우치다 유우마(타카히로 목소리), 미키 신이치로(아빠 목소리), 타나카 아츠코(엄마 목소리)	[국내] 12세 관람가		우연히 주운 한 권의 『공병문고』로 <br>&nbsp;우리는 조금씩 가까워지기 시작했다. <br>&nbsp;“나 사실은… <br>&nbsp;죽는 게 너무 무섭다고 하면 어떻게 할래?” <br>&nbsp; <br>&nbsp;내가 몰랐던 너, 네가 몰랐던 나  <br>&nbsp;다시 우리의 이야기	https://movie-phinf.pstatic.net/20181026_40/1540518904460lgFIb_JPEG/movie_image.jpg?type=m203_290_2
8	동네사람들	액션, 스릴러 | 한국 | 99분 | 2018 .11.07 개봉	임진순	마동석(역기철), 김새론(강유진), 장광(김기태), 이상엽(김지성), 신세휘(한수연), 진선규(곽병두), 오희준(김동수)	[국내] 15세 관람가		여고생이 사라졌지만 너무나 평온한 시골의 한적한 마을, 기간제 교사로 새로 부임 온 외지 출신 체육교사 ‘기철(마동석)’은 동네 분위기가 심상치 않음을 감지한다. 실종된 여고생의 유일한 친구 '유진(김새론)'만이 친구가 납치된 거라 확신하여 사건을 쫓고, 의도치 않게 ‘유진’과 함께 사라진 소녀를 찾기 위해 나선 ‘기철’은 누군가에 의해 그녀의 흔적들이 사라지고 있다는 사실을 알게 되는데...<br>&nbsp;<br>&nbsp;모두가 침묵하는 사라진 소녀, 하지만 누군가는 반드시 그녀를 찾아야만 한다	https://movie-phinf.pstatic.net/20181109_35/15417456367899cdGU_JPEG/movie_image.jpg?type=m203_290_2
9	로빈슨의 언더워터 어드벤처	애니메이션 | 러시아 연방 | 73분 | 2018 .11.15 개봉	비탈리 무카메지아노브, 막심 볼코브		[국내] 전체 관람가	마녀의 저주를 풀기 위해 전설의 기사 ‘로빈슨’이 나섰다!<br>“육지에서 온 기사가 악을 무찌르고 바닷속 세상을 구할 거야.”	국왕의 노여움을 산 ‘로빈슨’은 병사들에게 쫓기다 마녀의 저주가 걸린 바닷속 왕궁에 떨어지게 된다. <br>&nbsp;육지에서 온 전설의 기사만이 포세이돈의 저주를 풀 수 있다는 말을 들은 ‘메리다’는 <br>&nbsp;마녀에게 잡힌  ‘로빈슨’을 구해주게 되고, <br>&nbsp;마녀의 저주로 평생 잠든 ‘포세이돈’을 깨워 달라고 부탁을 하는데… <br>&nbsp;과연, 로빈슨은 마녀의 저주에 걸린 포세이돈을 구하고 무사히 바닷속 왕국을 구할 수 있을까? <br>&nbsp;바닷속을 발칵 뒤집을 전설의 기사 로빈슨과 아찔한 모험의 세계로 출발~!	https://movie-phinf.pstatic.net/20181023_49/1540269777397VIFnu_JPEG/movie_image.jpg?type=m203_290_2
10	해피 투게더	드라마, 코미디 | 한국 | 111분 | 2018 .11.15 개봉	김정환	박성웅(강석진), 송새벽(박영걸), 최로운(강하늘), 혁(청년하늘), 권해효(달수), 성병숙(베로니카수녀), 정인기(최선장), 류성현(유사장)	[국내] 12세 관람가		“이번 생에서 난 주인공이 아닌가 봐"<br>&nbsp;사랑하는 아들 ‘하늘이’를 위해 천직이라 믿었던 음악의 꿈을 포기한 순둥이 싱글대디 ‘강석진’.<br>&nbsp;일명 ‘땜빵’ 무대에 서기 위해 찾아간 나이트클럽에서 화려한 반짝이 의상을 빼입은 ‘박영걸’을 만나다! <br>&nbsp;<br>&nbsp;“관객 마음 사로잡아 본 적 있어요? 스파크 빡 때려본 적 있냐고” <br>&nbsp;밤무대 인기스타. 하지만 남들 몰래 바람잡이 관객 알바를 고용하는 생계형 색소포니스트 ‘박영걸’. <br>&nbsp;우연히 만난 꿈쟁이 ‘강석진’에게 훈수를 두지만, 얼마 후 상상도 못했던 곳에서 그와 그의 아들과 재회하며 인생 제대로 꼬이다! <br>&nbsp;<br>&nbsp;“난 아빠가 색소폰 부는 모습이 제일 멋있단 말이야!” <br>&nbsp;‘석진’의 영원한 제1호 팬이자 사랑스러운 아들 ‘하늘’. 가난 속에서도 늘 밝지만 색소폰 앞에서는 누구보다 진지한 음악신동. 시원하게 뽑아내는 선율로 우연히 재회한 ‘영걸’을 사로잡다! <br>&nbsp;<br>&nbsp;이번 생은 엑스트라지만, 그래도 오늘 밤만은 우리 모두가 주인공! <br>&nbsp;인생 무대에 오르고 싶은 이들의 유쾌하고 찬란한 반격이 시작된다!	https://movie-phinf.pstatic.net/20181116_119/1542355085445eqNwH_JPEG/movie_image.jpg?type=m203_290_2
