순번	상영관	좌석	예매여부
1	1	A1	0
2	1	A2	0
3	1	A3	0
4	1	A4	0
5	1	A5	0
6	1	A6	0
7	1	A7	0
8	1	A8	0
9	1	A8	0
10	1	A12	0
11	1	A13	0
12	1	B1	0
13	1	B2	0
14	1	B3	0
15	1	B4	0
16	1	B5	0
17	1	B6	0
18	1	B7	0
19	1	B8	0
20	1	B9	0
21	1	B10	0
22	1	B11	0
23	1	B12	0
24	1	B13	0
25	1	C1	0
26	1	C2	0
27	1	C3	0
28	1	C4	0
29	1	C5	0
30	1	C6	0
31	1	C7	0
32	1	C8	0
33	1	C9	0
34	1	C10	0
35	1	C11	0
36	1	C12	0
37	1	C13	0
38	1	D1	0
39	1	D2	0
40	1	D3	0
41	1	D4	0
42	1	D5	0
43	1	D6	0
44	1	D7	0
45	1	D8	0
46	1	D9	0
47	1	D10	0
48	1	D11	0
49	1	D12	0
50	1	D13	0
51	1	E1	0
52	1	E2	0
53	1	E3	0
54	1	E4	0
55	1	E5	0
56	1	E6	0
57	1	E7	0
58	1	E8	0
59	1	E9	0
60	1	E10	0
61	1	E11	0
62	1	E12	0
63	1	E13	0
64	1	F1	0
65	1	F2	0
66	1	F3	0
67	1	F4	0
68	1	F5	0
69	1	F6	0
70	1	F7	0
71	1	F8	0
72	1	F9	0
73	1	F10	0
74	1	F11	0
75	1	F12	0
76	1	F13	0
77	1	G3	0
78	1	G4	0
79	1	G5	0
80	1	G6	0
81	1	G7	0
82	1	G8	0
83	1	G9	0
84	1	G10	0
85	1	G11	0
86	1	G12	0
87	1	G13	0
88	1	H3	0
89	1	H4	0
90	1	H5	0
91	1	H6	0
92	1	H7	0
93	1	H8	0
94	1	H9	0
95	1	H10	0
96	1	H11	0
97	1	H12	0
98	1	H13	0
99	1	I3	0
100	1	I4	0
101	1	I5	0
102	1	I6	0
103	1	I7	0
104	1	I8	0
105	1	I9	0
106	1	I10	0
107	1	I11	0
108	1	I12	0
109	1	I13	0
110	1	J3	0
111	1	J4	0
112	1	J5	0
113	1	J6	0
114	1	J7	0
115	1	J8	0
116	1	J9	0
117	1	J10	0
118	1	J11	0
119	1	J12	0
120	1	J13	0
121	1	K3	0
122	1	K4	0
123	1	K5	0
124	1	K6	0
125	1	K7	0
126	1	K8	0
127	1	K9	0
128	1	K10	0
129	1	K11	0
130	1	K12	0
131	1	K13	0
132	1	K14	0
133	1	K15	0
134	1	L3	0
135	1	L4	0
136	1	L5	0
137	1	L6	0
138	1	L7	0
139	1	L8	0
140	1	L9	0
141	1	L10	0
142	1	L11	0
143	1	L12	0
144	1	L13	0
145	1	L14	0
146	1	L15	0
147	1	M3	0
148	1	M4	0
149	1	M5	0
150	1	M6	0
151	1	M7	0
152	1	M8	0
153	1	M9	0
154	1	M10	0
155	1	M11	0
156	1	M12	0
157	1	M14	0
158	1	M15	0
159	2	A3	0
160	2	A4	0
161	2	A7	0
162	2	A8	0
163	2	A9	0
164	2	A10	0
165	2	A11	0
166	2	A12	0
167	2	A13	0
168	2	B3	0
169	2	B4	0
170	2	B5	0
171	2	B6	0
172	2	B7	0
173	2	B8	0
174	2	B9	0
175	2	B10	0
176	2	B11	0
177	2	B12	0
178	2	B13	0
179	2	C3	0
180	2	C4	0
181	2	C5	0
182	2	C6	0
183	2	C7	0
184	2	C8	0
185	2	C9	0
186	2	C10	0
187	2	C11	0
188	2	C12	0
189	2	C13	0
190	2	D3	0
191	2	D4	0
192	2	D5	0
193	2	D6	0
194	2	D7	0
195	2	D8	0
196	2	D9	0
197	2	D10	0
198	2	D11	0
199	2	D12	0
200	2	D13	0
201	2	E3	0
202	2	E4	0
203	2	E5	0
204	2	E6	0
205	2	E7	0
206	2	E8	0
207	2	E9	0
208	2	E10	0
209	2	E11	0
210	2	E12	0
211	2	E13	0
212	2	F3	0
213	2	F4	0
214	2	F5	0
215	2	F6	0
216	2	F7	0
217	2	F8	0
218	2	F9	0
219	2	F10	0
220	2	F11	0
221	2	F12	0
222	2	F13	0
223	2	G3	0
224	2	G4	0
225	2	G5	0
226	2	G6	0
227	2	G7	0
228	2	G8	0
229	2	G9	0
230	2	G10	0
231	2	G11	0
232	2	G12	0
233	2	G13	0
234	2	H3	0
235	2	H4	0
236	2	H5	0
237	2	H6	0
238	2	H7	0
239	2	H8	0
240	2	H9	0
241	2	H10	0
242	2	H11	0
243	2	H12	0
244	2	H13	0
245	2	I1	0
246	2	I2	0
247	2	I3	0
248	2	I4	0
249	2	I5	0
250	2	I6	0
251	2	I7	0
252	2	I8	0
253	2	I9	0
254	2	I10	0
255	2	I11	0
256	2	I12	0
257	2	I13	0
258	2	J1	0
259	2	J2	0
260	2	J3	0
261	2	J4	0
262	2	J5	0
263	2	J6	0
264	2	J7	0
265	2	J8	0
266	2	J9	0
267	2	J10	0
268	2	J11	0
269	2	J12	0
270	2	J13	0
271	2	K1	0
272	2	K2	0
273	2	K3	0
274	2	K4	0
275	2	K5	0
276	2	K6	0
277	2	K7	0
278	2	K8	0
279	2	K9	0
280	2	K10	0
281	2	K11	0
282	2	K12	0
283	3	A1	0
284	3	A2	0
285	3	A3	0
286	3	A4	0
287	3	A5	0
288	3	A7	0
289	3	A8	0
290	3	A10	0
291	3	A11	0
292	3	A12	0
293	3	A13	0
294	3	B1	0
295	3	B2	0
296	3	B3	0
297	3	B4	0
298	3	B5	0
299	3	B6	0
300	3	B7	0
301	3	B8	0
302	3	B9	0
303	3	B10	0
304	3	B11	0
305	3	B12	0
306	3	B13	0
307	3	C1	0
308	3	C2	0
309	3	C3	0
310	3	C4	0
311	3	C5	0
312	3	C6	0
313	3	C7	0
314	3	C8	0
315	3	C9	0
316	3	C10	0
317	3	C11	0
318	3	C12	0
319	3	C13	0
320	3	D1	0
321	3	D2	0
322	3	D3	0
323	3	D4	0
324	3	D5	0
325	3	D6	0
326	3	D7	0
327	3	D8	0
328	3	D9	0
329	3	D10	0
330	3	D11	0
331	3	D12	0
332	3	D13	0
333	3	E1	0
334	3	E2	0
335	3	E3	0
336	3	E4	0
337	3	E5	0
338	3	E6	0
339	3	E7	0
340	3	E8	0
341	3	E9	0
342	3	E10	0
343	3	E11	0
344	3	E12	0
345	3	E13	0
346	3	F1	0
347	3	F2	0
348	3	F3	0
349	3	F4	0
350	3	F5	0
351	3	F6	0
352	3	F7	0
353	3	F8	0
354	3	F9	0
355	3	F10	0
356	3	F11	0
357	3	F12	0
358	3	F13	0
359	3	G1	0
360	3	G2	0
361	3	G3	0
362	3	G4	0
363	3	G5	0
364	3	G6	0
365	3	G7	0
366	3	G8	0
367	3	G9	0
368	3	G10	0
369	3	G11	0
370	3	G12	0
371	3	G13	0
372	3	H1	0
373	3	H2	0
374	3	H3	0
375	3	H4	0
376	3	H5	0
377	3	H6	0
378	3	H7	0
379	3	H8	0
380	3	H9	0
381	3	H10	0
382	3	H11	0
383	3	H12	0
384	3	H13	0
385	3	I1	0
386	3	I2	0
387	3	I3	0
388	3	I4	0
389	3	I5	0
390	3	I6	0
391	3	I7	0
392	3	I8	0
393	3	I9	0
394	3	I10	0
395	3	I11	0
396	3	I12	0
397	3	I13	0
398	3	J1	0
399	3	J2	0
400	3	J3	0
401	3	J4	0
402	3	J5	0
403	3	J6	0
404	3	J7	0
405	3	J8	0
406	3	J9	0
407	3	J10	0
408	3	J11	0
409	3	J12	0
410	3	J13	0
411	3	K1	0
412	3	K2	0
413	3	K3	0
414	3	K4	0
415	3	K5	0
416	3	K6	0
417	3	K10	0
418	3	K11	0
419	3	K12	0
420	3	K13	0
421	3	K14	0
422	3	K15	0
423	4	A3	0
424	4	A4	0
425	4	A5	0
426	4	A6	0
427	4	A8	0
428	4	A9	0
429	4	A11	0
430	4	A12	0
431	4	A13	0
432	4	A14	0
433	4	A15	0
434	4	B3	0
435	4	B4	0
436	4	B5	0
437	4	B6	0
438	4	B7	0
439	4	B8	0
440	4	B9	0
441	4	B10	0
442	4	B11	0
443	4	B12	0
444	4	B13	0
445	4	B14	0
446	4	B15	0
447	4	C3	0
448	4	C4	0
449	4	C5	0
450	4	C6	0
451	4	C7	0
452	4	C8	0
453	4	C9	0
454	4	C10	0
455	4	C11	0
456	4	C12	0
457	4	C13	0
458	4	C14	0
459	4	C15	0
460	4	D3	0
461	4	D4	0
462	4	D5	0
463	4	D6	0
464	4	D7	0
465	4	D8	0
466	4	D9	0
467	4	D10	0
468	4	D11	0
469	4	D12	0
470	4	D13	0
471	4	D14	0
472	4	D15	0
473	4	E3	0
474	4	E4	0
475	4	E5	0
476	4	E6	0
477	4	E7	0
478	4	E8	0
479	4	E9	0
480	4	E10	0
481	4	E11	0
482	4	E12	0
483	4	E13	0
484	4	E14	0
485	4	E15	0
486	4	F3	0
487	4	F4	0
488	4	F5	0
489	4	F6	0
490	4	F7	0
491	4	F8	0
492	4	F9	0
493	4	F10	0
494	4	F11	0
495	4	F12	0
496	4	F13	0
497	4	F14	0
498	4	F15	0
499	4	G3	0
500	4	G4	0
501	4	G5	0
502	4	G6	0
503	4	G7	0
504	4	G8	0
505	4	G9	0
506	4	G10	0
507	4	G11	0
508	4	G12	0
509	4	G13	0
510	4	G14	0
511	4	G15	0
512	4	H3	0
513	4	H4	0
514	4	H5	0
515	4	H6	0
516	4	H7	0
517	4	H8	0
518	4	H9	0
519	4	H10	0
520	4	H11	0
521	4	H12	0
522	4	H13	0
523	4	H14	0
524	4	H15	0
525	4	I3	0
526	4	I4	0
527	4	I5	0
528	4	I6	0
529	4	I7	0
530	4	I8	0
531	4	I9	0
532	4	I10	0
533	4	I11	0
534	4	I12	0
535	4	I13	0
536	4	I14	0
537	4	I15	0
538	4	J3	0
539	4	J4	0
540	4	J5	0
541	4	J6	0
542	4	J7	0
543	4	J8	0
544	4	J9	0
545	4	J10	0
546	4	J11	0
547	4	J12	0
548	4	J13	0
549	4	J14	0
550	4	J15	0
551	4	K3	0
552	4	K4	0
553	4	K5	0
554	4	K6	0
555	4	K7	0
556	4	K8	0
557	4	K9	0
558	4	K10	0
559	4	K11	0
560	4	K12	0
561	4	K13	0
562	4	K14	0
563	4	K15	0
564	4	L1	0
565	4	L2	0
566	4	L3	0
567	4	L4	0
568	4	L5	0
569	4	L6	0
570	4	L10	0
571	4	L11	0
572	4	L12	0
573	4	L13	0
574	4	L14	0
575	4	L15	0
576	5	A3	0
577	5	A4	0
578	5	A5	0
579	5	A6	0
580	5	A7	0
581	5	A8	0
582	5	A9	0
583	5	A10	0
584	5	A11	0
585	5	A12	0
586	5	A13	0
587	5	A14	0
588	5	A15	0
589	5	B1	0
590	5	B2	0
591	5	B3	0
592	5	B4	0
593	5	B5	0
594	5	B6	0
595	5	B7	0
596	5	B8	0
597	5	B9	0
598	5	B10	0
599	5	B11	0
600	5	B12	0
601	5	B13	0
602	5	B14	0
603	5	B15	0
604	5	C1	0
605	5	C2	0
606	5	C3	0
607	5	C4	0
608	5	C5	0
609	5	C6	0
610	5	C7	0
611	5	C8	0
612	5	C9	0
613	5	C10	0
614	5	C11	0
615	5	C12	0
616	5	C13	0
617	5	C14	0
618	5	C15	0
619	5	D1	0
620	5	D2	0
621	5	D3	0
622	5	D4	0
623	5	D5	0
624	5	D6	0
625	5	D7	0
626	5	D8	0
627	5	D9	0
628	5	D10	0
629	5	D11	0
630	5	D12	0
631	5	D13	0
632	5	D14	0
633	5	D15	0
634	5	E1	0
635	5	E2	0
636	5	E3	0
637	5	E4	0
638	5	E5	0
639	5	E6	0
640	5	E7	0
641	5	E8	0
642	5	E9	0
643	5	E10	0
644	5	E11	0
645	5	E12	0
646	5	E13	0
647	5	E14	0
648	5	E15	0
649	5	F1	0
650	5	F2	0
651	5	F3	0
652	5	F4	0
653	5	F5	0
654	5	F6	0
655	5	F7	0
656	5	F8	0
657	5	F9	0
658	5	F10	0
659	5	F11	0
660	5	F12	0
661	5	F13	0
662	5	F14	0
663	5	F15	0
664	5	G1	0
665	5	G2	0
666	5	G3	0
667	5	G4	0
668	5	G5	0
669	5	G6	0
670	5	G7	0
671	5	G8	0
672	5	G9	0
673	5	G10	0
674	5	G11	0
675	5	H1	0
676	5	H2	0
677	5	H3	0
678	5	H4	0
679	5	H5	0
680	5	H6	0
681	5	H7	0
682	5	H8	0
683	5	H9	0
684	5	H10	0
685	5	H11	0
686	5	I1	0
687	5	I2	0
688	5	I3	0
689	5	I4	0
690	5	I5	0
691	5	I6	0
692	5	I7	0
693	5	I8	0
694	5	I9	0
695	5	I10	0
696	5	I11	0
697	5	J1	0
698	5	J2	0
699	5	J3	0
700	5	J4	0
701	5	J5	0
702	5	J6	0
703	5	J7	0
704	5	J8	0
705	5	J9	0
706	5	J10	0
707	5	J11	0
708	5	J12	0
709	5	J13	0
710	5	J14	0
711	5	J15	0
712	5	K1	0
713	5	K2	0
714	5	K3	0
715	5	K4	0
716	5	K5	0
717	5	K6	0
718	5	K7	0
719	5	K8	0
720	5	K9	0
721	5	K10	0
722	5	K11	0
723	5	K12	0
724	5	K13	0
725	5	K14	0
726	5	K15	0
727	5	L1	0
728	5	L2	0
729	5	L3	0
730	5	L4	0
731	5	L5	0
732	5	L6	0
733	5	L7	0
734	5	L8	0
735	5	L9	0
736	5	L10	0
737	5	L11	0
738	5	L12	0
739	5	L13	0
740	5	L14	0
741	5	L15	0
742	5	M1	0
743	5	M2	0
744	5	M3	0
745	5	M4	0
746	5	M5	0
747	5	M6	0
748	5	M10	0
749	5	M11	0
750	5	M12	0
751	5	M13	0
752	5	M14	0
753	5	M15	0
754	6	A1	0
755	6	A2	0
756	6	A5	0
757	6	A6	0
758	6	A7	0
759	6	A8	0
760	6	A9	0
761	6	A10	0
762	6	A11	0
763	6	A12	0
764	6	B1	0
765	6	B2	0
766	6	B3	0
767	6	B4	0
768	6	B5	0
769	6	B6	0
770	6	B7	0
771	6	B8	0
772	6	B9	0
773	6	B10	0
774	6	B11	0
775	6	B12	0
776	6	C1	0
777	6	C2	0
778	6	C3	0
779	6	C4	0
780	6	C5	0
781	6	C6	0
782	6	C7	0
783	6	C8	0
784	6	C9	0
785	6	C10	0
786	6	C11	0
787	6	C12	0
788	6	D1	0
789	6	D2	0
790	6	D3	0
791	6	D4	0
792	6	D5	0
793	6	D6	0
794	6	D7	0
795	6	D8	0
796	6	D9	0
797	6	D10	0
798	6	D11	0
799	6	D12	0
800	6	E1	0
801	6	E2	0
802	6	E3	0
803	6	E4	0
804	6	E5	0
805	6	E6	0
806	6	E7	0
807	6	E8	0
808	6	E9	0
809	6	E10	0
810	6	E11	0
811	6	E12	0
812	6	F1	0
813	6	F2	0
814	6	F3	0
815	6	F4	0
816	6	F5	0
817	6	F6	0
818	6	F7	0
819	6	F8	0
820	6	G1	0
821	6	G2	0
822	6	G3	0
823	6	G4	0
824	6	G5	0
825	6	G6	0
826	6	G7	0
827	6	G8	0
828	6	H1	0
829	6	H2	0
830	6	H3	0
831	6	H4	0
832	6	H5	0
833	6	H6	0
834	6	H7	0
835	6	H8	0
836	6	I1	0
837	6	I2	0
838	6	I3	0
839	6	I4	0
840	6	I5	0
841	6	I6	0
842	6	I7	0
843	6	I8	0
844	6	J1	0
845	6	J2	0
846	6	J3	0
847	6	J4	0
848	6	J5	0
849	6	J6	0
850	6	J7	0
851	6	J8	0
852	6	J9	0
853	6	J10	0
854	6	J11	0
855	6	J12	0
856	6	K1	0
857	6	K2	0
858	6	K3	0
859	6	K4	0
860	6	K5	0
861	6	K6	0
862	6	K7	0
863	6	K8	0
